Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,G+A,CrdR,PrgC,SoT%,KP,Touches
405,Tajon Buchanan,ca CAN,MF,Villarreal,es La Liga,25.0,1999.0,13,4,416,1,2,3,0,19,28.6,5,223
406,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,33.0,1991.0,38,34,2952,21,4,25,0,23,31.9,16,788
407,Emi Buendía,ar ARG,"MF,FW",Aston Villa,eng Premier League,27.0,1996.0,12,0,98,0,0,0,0,3,0.0,1,82
408,Emi Buendía,ar ARG,MF,Leverkusen,de Bundesliga,27.0,1996.0,11,3,257,2,0,2,0,2,57.1,6,198
409,Manu Bueno,es ESP,"MF,FW",Sevilla,es La Liga,20.0,2004.0,9,1,140,1,0,1,0,2,25.0,0,91
410,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,25.0,1998.0,29,18,1687,0,0,0,0,1,50.0,0,1025
411,Endika Buján,es ESP,FW,Athletic Club,es La Liga,21.0,2003.0,1,0,7,0,0,0,0,1,29.907323340471095,0,7
412,Marius Bülter,de GER,"FW,DF",Hoffenheim,de Bundesliga,31.0,1993.0,25,22,1729,7,2,9,0,57,40.5,22,774
413,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,eng Premier League,19.0,2004.0,31,14,1523,5,2,7,0,39,33.3,24,874
414,Alessandro Buongiorno,it ITA,DF,Napoli,it Serie A,25.0,1999.0,22,22,1924,1,0,1,0,27,50.0,5,1489
415,Cameron Burgess,au AUS,DF,Ipswich Town,eng Premier League,28.0,1995.0,18,16,1541,0,2,2,0,2,20.0,7,982
416,Jonathan Burkardt,de GER,FW,Mainz 05,de Bundesliga,24.0,2000.0,29,28,2109,18,2,20,0,32,40.0,20,788
417,Oliver Burke,sct SCO,FW,Werder Bremen,de Bundesliga,27.0,1997.0,25,9,908,5,0,5,0,22,34.3,14,440
418,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,32.0,1992.0,37,37,3330,1,1,2,0,12,30.4,9,2386
419,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,it Serie A,20.0,2004.0,4,0,28,0,0,0,0,0,0.0,0,22
420,Wes Burns,wls WAL,"FW,DF",Ipswich Town,eng Premier League,29.0,1994.0,18,12,926,0,1,1,0,38,14.3,10,350
421,Marnon Busch,de GER,"DF,MF",Heidenheim,de Bundesliga,29.0,1994.0,23,15,1396,0,1,1,0,22,23.1,12,1030
422,Gianluca Busio,us USA,MF,Venezia,it Serie A,22.0,2002.0,33,28,2518,2,0,2,0,60,19.4,28,1250
423,Aurélio Buta,pt POR,DF,Reims,fr Ligue 1,27.0,1997.0,27,24,1970,0,1,1,0,28,12.5,10,1195
424,Jean Butez,fr FRA,GK,Como,it Serie A,29.0,1995.0,19,18,1666,0,0,0,0,0,29.907323340471095,1,799
425,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,eng Premier League,21.0,2003.0,1,0,7,0,0,0,0,0,100.0,0,1
426,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,24.0,1999.0,34,34,3060,0,0,0,0,0,29.907323340471095,1,1196
427,Pau Cabanes,es ESP,"MF,FW",Villarreal,es La Liga,19.0,2005.0,10,0,163,1,0,1,0,10,50.0,4,122
428,Pau Cabanes,es ESP,"MF,FW",Alavés,es La Liga,19.0,2005.0,6,2,188,0,0,0,0,15,50.0,1,125
429,Rémy Cabella,fr FRA,"FW,MF",Lille,fr Ligue 1,34.0,1990.0,23,12,1011,1,2,3,0,45,23.3,26,900
430,Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,33.0,1991.0,33,32,2869,4,2,6,1,9,31.6,9,1796
431,Liberato Cacace,nz NZL,"MF,DF",Empoli,it Serie A,23.0,2000.0,33,24,2230,2,4,6,0,53,31.0,25,1187
432,Alessio Cacciamani,it ITA,"MF,DF",Torino,it Serie A,17.0,2007.0,2,0,31,0,0,0,0,2,29.907323340471095,0,18
433,Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,27.0,1997.0,33,33,2684,1,7,8,0,45,37.5,50,1973
434,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,27.0,1997.0,15,9,732,1,0,1,1,19,43.5,13,324
435,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,eng Premier League,22.0,2001.0,38,38,3351,1,2,3,0,43,15.0,30,2579
436,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,33.0,1991.0,25,3,628,2,0,2,1,18,36.4,11,683
437,Jens Cajuste,se SWE,MF,Ipswich Town,eng Premier League,24.0,1999.0,30,25,1959,1,1,2,0,26,8.3,13,1017
438,Davide Calabria,it ITA,DF,Bologna,it Serie A,27.0,1996.0,11,7,632,0,1,1,0,7,0.0,13,490
439,Davide Calabria,it ITA,DF,Milan,it Serie A,27.0,1996.0,7,4,316,0,0,0,0,8,0.0,1,258
440,Riccardo Calafiori,it ITA,DF,Arsenal,eng Premier League,22.0,2002.0,19,11,983,2,1,3,0,22,60.0,6,653
441,Luca Caldirola,it ITA,DF,Monza,it Serie A,33.0,1991.0,14,10,876,0,0,0,0,5,50.0,2,699
442,Fernando Calero,es ESP,"DF,MF",Espanyol,es La Liga,28.0,1995.0,21,6,715,1,0,1,0,0,50.0,3,498
443,Duje Ćaleta-Car,hr CRO,DF,Lyon,fr Ligue 1,27.0,1996.0,19,17,1584,1,0,1,0,4,9.1,2,1178
444,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,30.0,1994.0,28,25,1879,5,6,11,0,52,29.3,49,1881
445,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,27.0,1997.0,26,19,1609,3,1,4,0,23,38.0,7,520
446,Drissa Camara,ci CIV,"MF,FW",Parma,it Serie A,22.0,2002.0,21,1,447,0,0,0,0,18,33.3,5,251
447,Issiaga Camara,gn GUI,MF,Nice,fr Ligue 1,19.0,2005.0,4,0,20,0,0,0,0,1,29.907323340471095,0,23
448,Lamine Camara,sn SEN,MF,Monaco,fr Ligue 1,20.0,2004.0,29,25,2054,2,7,9,1,25,34.6,44,1743
449,Mahdi Camara,fr FRA,"MF,FW",Brest,fr Ligue 1,26.0,1998.0,34,31,2659,5,3,8,0,58,38.8,26,1530
450,Ousmane Camara,fr FRA,DF,Angers,fr Ligue 1,21.0,2003.0,3,3,252,0,0,0,0,0,0.0,1,126
451,Francesco Camarda,it ITA,"FW,MF",Milan,it Serie A,16.0,2008.0,10,1,206,0,0,0,0,2,12.5,5,80
452,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,es La Liga,21.0,2002.0,19,11,1102,1,2,3,0,26,25.0,11,957
453,Nicolò Cambiaghi,it ITA,FW,Bologna,it Serie A,23.0,2000.0,18,4,620,1,3,4,0,45,28.6,12,334
454,Andrea Cambiaso,it ITA,"DF,FW",Juventus,it Serie A,24.0,2000.0,33,25,2221,2,3,5,0,78,35.3,34,1911
455,Axel Camblan,fr FRA,"MF,FW",Brest,fr Ligue 1,20.0,2003.0,2,0,26,0,0,0,0,2,0.0,0,10
456,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,23.0,2001.0,23,14,1134,3,2,5,0,20,28.1,19,398
457,José Campaña,es ESP,MF,Las Palmas,es La Liga,31.0,1993.0,25,15,1189,0,3,3,0,11,60.0,14,946
